Player	選手	Team	Date	Game	Pitch	Pitches	Velocity	ResultType	Result
Walker, Adam	ウォーカー アダム	YOM	2022-04-23	71798	curve	2	NA	hit	single
Walker, Adam	ウォーカー アダム	YOM	2022-04-23	71798	split-finger	4	NA	hit	double
Nakajima, Hiroyuki	中島 宏之	YOM	2022-04-23	71798	cutter	3	130	hit	single
Nakajima, Hiroyuki	中島 宏之	YOM	2022-04-23	71798	split-finger	3	134	hit	double
Ohshiro, Takumi	大城 卓三	YOM	2022-04-23	71798	cutter	5	125	hit	single
Kobayashi, Seiji	小林 誠司	YOM	2022-04-23	71798	split-finger	3	140	hit	single
Shoemaker, Matt	シューメーカー マット	YOM	2022-04-23	71798	cutter	3	123	hit	single
Martinez, Ariel	マルティネス アリエル	CHU	2022-04-23	71798	split-finger	1	NA	hit	double
Mizowaki, Hayato	溝脇 隼人	CHU	2022-04-23	71798	two-seam	4	146	hit	single
Kusumoto, Taishi	楠本 泰史	YOK	2022-04-23	71799	straight	3	148	hit	single
Kusumoto, Taishi	楠本 泰史	YOK	2022-04-23	71799	two-seam	1	139	hit	single
Sano, Keita	佐野 恵太	YOK	2022-04-23	71799	curve	4	117	hit	single
Soto, Neftali	ソト ネフタリ	YOK	2022-04-23	71799	straight	4	152	hit	double
Maeda, Yamato	前田 大和	YOK	2022-04-23	71799	straight	6	146	hit	single
Tanaka, Shunta	田中 俊太	YOK	2022-04-23	71799	straight	2	149	hit	single
Kamichatani, Taiga	上茶谷 大河	YOK	2022-04-23	71799	straight	3	147	hit	single
Yamashita, Koki	山下 幸輝	YOK	2022-04-23	71799	curve	3	107	hit	single
Dobayashi, Shota	堂林 翔太	HIR	2022-04-23	71799	straight	4	145	hit	home-run
Dobayashi, Shota	堂林 翔太	HIR	2022-04-23	71799	cutter	4	137	hit	single
Kikuchi, Ryosuke	菊池 涼介	HIR	2022-04-23	71799	cutter	7	136	hit	single
Nishikawa, Ryoma	西川 龍馬	HIR	2022-04-23	71799	slider	2	131	hit	single
McBroom, Ryan	マクブルーム ライアン	HIR	2022-04-23	71799	shoot	2	141	hit	single
Sakakura, Shogo	坂倉 将吾	HIR	2022-04-23	71799	straight	3	145	hit	double
Suekane, Shota	末包 昇大	HIR	2022-04-23	71799	shoot	4	NA	hit	single
Suekane, Shota	末包 昇大	HIR	2022-04-23	71799	straight	8	143	hit	double
Nakamura, Kento	中村 健人	HIR	2022-04-23	71799	change-up	8	130	hit	single
Chikamoto, Koji	近本 光司	HAN	2022-04-24	71800	fork	3	130	hit	single
Itohara, Kento	糸原 健斗	HAN	2022-04-24	71800	straight	4	143	hit	single
Itohara, Kento	糸原 健斗	HAN	2022-04-24	71800	shoot	4	147	hit	single
Sato, Teruaki	佐藤 輝明	HAN	2022-04-24	71800	straight	1	143	hit	home-run
Sato, Teruaki	佐藤 輝明	HAN	2022-04-24	71800	shoot	2	NA	hit	single
Ohyama, Yusuke	大山 悠輔	HAN	2022-04-24	71800	straight	3	141	hit	single
Ohyama, Yusuke	大山 悠輔	HAN	2022-04-24	71800	straight	4	141	hit	double
